sku,combined_description
18-2350,<ul><li>Track Service Intervals via resettable maintenance timer</li><li>Displays current RPM and records max RPM</li><li>Easy Installation</li><li>Works on 2 or 4 Cycle Engines</li><li>IP67 rated</li></ul>
18-2351,<ul><li>Track Service Intervals via resettable maintenance timer</li><li>Displays current RPM and records max RPM</li><li>Easy Installation</li><li>Works on 2 or 4 Cycle Engines</li><li>IP67 rated</li></ul>
18-2353,<ul><li>Track Service Intervals via resettable maintenance timer</li><li>Displays current RPM and records max RPM</li><li>Easy Installation</li><li>Works on 2 or 4 Cycle Engines</li><li>IP67 rated</li></ul>
18-2354,<ul><li>Track Service Intervals via resettable maintenance timer</li><li>Displays current RPM and records max RPM</li><li>Easy Installation</li><li>Works on 2 or 4 Cycle Engines</li><li>IP67 rated</li></ul>
56-008000M,"<ul><li>Sturdy 300D polyester fabric with a polyurethane coated topcoat that assures a durable water-repellent fabric which allows breathability and maximum UV protection while protecting against moisture</li><li>Enhanced reflective vent system prevents moisture buildup under the cover</li><li>Heat taped double stitched seams to ensure maximum waterproofing</li><li>Interior cotton heat shield lining insulates areas near warm pipes for added protection (allow at least 10 minutes of cool-down time before installing the cover over hot exhaust pipes)</li><li>Soft cotton lining in the windshield area to prevent scratching</li><li>The bottom hem of the cover features a sewn-in elastic shock cord, ensuring a snug and secure fit</li><li>Sewn in polyester belly strap to prevent to the cover from coming off in windy conditions</li><li>Internal pockets allow for the use of an aftermarket cover alarm system (not included)</li><li>Sewn-in grommets allow for a wheel or cable lock to pass through</li><li>Comes with a convenient drawstring pack for easy storage and transport</li><li>3-Year limited warranty</li></ul>"
56-008000X,"<ul><li>Sturdy 300D polyester fabric with a polyurethane coated topcoat that assures a durable water-repellent fabric which allows breathability and maximum UV protection while protecting against moisture</li><li>Enhanced reflective vent system prevents moisture buildup under the cover</li><li>Heat taped double stitched seams to ensure maximum waterproofing</li><li>Interior cotton heat shield lining insulates areas near warm pipes for added protection (allow at least 10 minutes of cool-down time before installing the cover over hot exhaust pipes)</li><li>Soft cotton lining in the windshield area to prevent scratching</li><li>The bottom hem of the cover features a sewn-in elastic shock cord, ensuring a snug and secure fit</li><li>Sewn in polyester belly strap to prevent to the cover from coming off in windy conditions</li><li>Internal pockets allow for the use of an aftermarket cover alarm system (not included)</li><li>Sewn-in grommets allow for a wheel or cable lock to pass through</li><li>Comes with a convenient drawstring pack for easy storage and transport</li><li>3-Year limited warranty</li></ul>"
56-0080012X,"<ul><li>Sturdy 300D polyester fabric with a polyurethane coated topcoat that assures a durable water-repellent fabric which allows breathability and maximum UV protection while protecting against moisture</li><li>Enhanced reflective vent system prevents moisture buildup under the cover</li><li>Heat taped double stitched seams to ensure maximum waterproofing</li><li>Interior cotton heat shield lining insulates areas near warm pipes for added protection (allow at least 10 minutes of cool-down time before installing the cover over hot exhaust pipes)</li><li>Soft cotton lining in the windshield area to prevent scratching</li><li>The bottom hem of the cover features a sewn-in elastic shock cord, ensuring a snug and secure fit</li><li>Sewn in polyester belly strap to prevent to the cover from coming off in windy conditions</li><li>Internal pockets allow for the use of an aftermarket cover alarm system (not included)</li><li>Sewn-in grommets allow for a wheel or cable lock to pass through</li><li>Comes with a convenient drawstring pack for easy storage and transport</li><li>3-Year limited warranty</li></ul>"
56-0080013X,"<ul><li>Sturdy 300D polyester fabric with a polyurethane coated topcoat that assures a durable water-repellent fabric which allows breathability and maximum UV protection while protecting against moisture</li><li>Enhanced reflective vent system prevents moisture buildup under the cover</li><li>Heat taped double stitched seams to ensure maximum waterproofing</li><li>Interior cotton heat shield lining insulates areas near warm pipes for added protection (allow at least 10 minutes of cool-down time before installing the cover over hot exhaust pipes)</li><li>Soft cotton lining in the windshield area to prevent scratching</li><li>The bottom hem of the cover features a sewn-in elastic shock cord, ensuring a snug and secure fit</li><li>Sewn in polyester belly strap to prevent to the cover from coming off in windy conditions</li><li>Internal pockets allow for the use of an aftermarket cover alarm system (not included)</li><li>Sewn-in grommets allow for a wheel or cable lock to pass through</li><li>Comes with a convenient drawstring pack for easy storage and transport</li><li>3-Year limited warranty</li></ul>"
56-008001A,"<ul><li>Sturdy 300D polyester fabric with a polyurethane coated topcoat that assures a durable water-repellent fabric which allows breathability and maximum UV protection while protecting against moisture</li><li>Enhanced reflective vent system prevents moisture buildup under the cover</li><li>Heat taped double stitched seams to ensure maximum waterproofing</li><li>Interior cotton heat shield lining insulates areas near warm pipes for added protection (allow at least 10 minutes of cool-down time before installing the cover over hot exhaust pipes)</li><li>Soft cotton lining in the windshield area to prevent scratching</li><li>The bottom hem of the cover features a sewn-in elastic shock cord, ensuring a snug and secure fit</li><li>Sewn in polyester belly strap to prevent to the cover from coming off in windy conditions</li><li>Internal pockets allow for the use of an aftermarket cover alarm system (not included)</li><li>Sewn-in grommets allow for a wheel or cable lock to pass through</li><li>Comes with a convenient drawstring pack for easy storage and transport</li><li>3-Year limited warranty</li></ul>"
56-008001L,"<ul><li>Sturdy 300D polyester fabric with a polyurethane coated topcoat that assures a durable water-repellent fabric which allows breathability and maximum UV protection while protecting against moisture</li><li>Enhanced reflective vent system prevents moisture buildup under the cover</li><li>Heat taped double stitched seams to ensure maximum waterproofing</li><li>Interior cotton heat shield lining insulates areas near warm pipes for added protection (allow at least 10 minutes of cool-down time before installing the cover over hot exhaust pipes)</li><li>Soft cotton lining in the windshield area to prevent scratching</li><li>The bottom hem of the cover features a sewn-in elastic shock cord, ensuring a snug and secure fit</li><li>Sewn in polyester belly strap to prevent to the cover from coming off in windy conditions</li><li>Internal pockets allow for the use of an aftermarket cover alarm system (not included)</li><li>Sewn-in grommets allow for a wheel or cable lock to pass through</li><li>Comes with a convenient drawstring pack for easy storage and transport</li><li>3-Year limited warranty</li></ul>"
56-008001M,"<ul><li>Sturdy 300D polyester fabric with a polyurethane coated topcoat that assures a durable water-repellent fabric which allows breathability and maximum UV protection while protecting against moisture</li><li>Enhanced reflective vent system prevents moisture buildup under the cover</li><li>Heat taped double stitched seams to ensure maximum waterproofing</li><li>Interior cotton heat shield lining insulates areas near warm pipes for added protection (allow at least 10 minutes of cool-down time before installing the cover over hot exhaust pipes)</li><li>Soft cotton lining in the windshield area to prevent scratching</li><li>The bottom hem of the cover features a sewn-in elastic shock cord, ensuring a snug and secure fit</li><li>Sewn in polyester belly strap to prevent to the cover from coming off in windy conditions</li><li>Internal pockets allow for the use of an aftermarket cover alarm system (not included)</li><li>Sewn-in grommets allow for a wheel or cable lock to pass through</li><li>Comes with a convenient drawstring pack for easy storage and transport</li><li>3-Year limited warranty</li></ul>"
56-008001SB,"<ul><li>Sturdy 300D polyester fabric with a polyurethane coated topcoat that assures a durable water-repellent fabric which allows breathability and maximum UV protection while protecting against moisture</li><li>Enhanced reflective vent system prevents moisture buildup under the cover</li><li>Heat taped double stitched seams to ensure maximum waterproofing</li><li>Interior cotton heat shield lining insulates areas near warm pipes for added protection (allow at least 10 minutes of cool-down time before installing the cover over hot exhaust pipes)</li><li>Soft cotton lining in the windshield area to prevent scratching</li><li>The bottom hem of the cover features a sewn-in elastic shock cord, ensuring a snug and secure fit</li><li>Sewn in polyester belly strap to prevent to the cover from coming off in windy conditions</li><li>Internal pockets allow for the use of an aftermarket cover alarm system (not included)</li><li>Sewn-in grommets allow for a wheel or cable lock to pass through</li><li>Comes with a convenient drawstring pack for easy storage and transport</li><li>3-Year limited warranty</li></ul>"
56-008001X,"<ul><li>Sturdy 300D polyester fabric with a polyurethane coated topcoat that assures a durable water-repellent fabric which allows breathability and maximum UV protection while protecting against moisture</li><li>Enhanced reflective vent system prevents moisture buildup under the cover</li><li>Heat taped double stitched seams to ensure maximum waterproofing</li><li>Interior cotton heat shield lining insulates areas near warm pipes for added protection (allow at least 10 minutes of cool-down time before installing the cover over hot exhaust pipes)</li><li>Soft cotton lining in the windshield area to prevent scratching</li><li>The bottom hem of the cover features a sewn-in elastic shock cord, ensuring a snug and secure fit</li><li>Sewn in polyester belly strap to prevent to the cover from coming off in windy conditions</li><li>Internal pockets allow for the use of an aftermarket cover alarm system (not included)</li><li>Sewn-in grommets allow for a wheel or cable lock to pass through</li><li>Comes with a convenient drawstring pack for easy storage and transport</li><li>3-Year limited warranty</li></ul>"
750-05580,"<ul><li>High-Performance Damper – Tuned for enhanced handling, stability, and comfort on the road.</li><li>Dual-Rate Spring System – Main coil absorbs big hits, while the signature red bottom spring smooths out smaller bumps.</li><li>Offered in both Standard and Heavy Duty spring rates</li><li>Increased Cornering Confidence – Provides improved traction and control for aggressive riding.</li><li>Enhanced Ride Quality – Reduces road noise and vibrations for a smoother, more comfortable experience.</li><li>Durable & Precision-Engineered – Built to withstand the demands of daily riding and long-distance trips.</li></ul>"
750-05581,"<ul><li>High-Performance Damper – Tuned for enhanced handling, stability, and comfort on the road.</li><li>Dual-Rate Spring System – Main coil absorbs big hits, while the signature red bottom spring smooths out smaller bumps.</li><li>Offered in both Standard and Heavy Duty spring rates</li><li>Increased Cornering Confidence – Provides improved traction and control for aggressive riding.</li><li>Enhanced Ride Quality – Reduces road noise and vibrations for a smoother, more comfortable experience.</li><li>Durable & Precision-Engineered – Built to withstand the demands of daily riding and long-distance trips.</li></ul>"
491-1001,"<ul><li>Step up to the next level of battery technology with Motobatt Quadflex.</li><li>MotoBatt innovative Quadflex design boasts four terminals, offering unparalleled installation flexibility and compatibility across a wide range of applications.</li><li>Utilizing advanced AGM (Absorbent Glass Mat) technology, Quadflex batteries deliver:</li><li>Superior Starting Power: High cranking amps for reliable starts in any condition.</li><li>Extended Cycle Life: Robust construction and advanced chemistry for longer battery life.</li><li>Maintenance-Free Operation: Sealed design eliminates the need for water refills.</li><li>Vibration Resistance: Built to withstand the toughest conditions.</li><li>Multi-Terminal Design: Adaptable to various cable configurations.</li></ul>"
491-1002,"<ul><li>Step up to the next level of battery technology with Motobatt Quadflex.</li><li>MotoBatt innovative Quadflex design boasts four terminals, offering unparalleled installation flexibility and compatibility across a wide range of applications.</li><li>Utilizing advanced AGM (Absorbent Glass Mat) technology, Quadflex batteries deliver:</li><li>Superior Starting Power: High cranking amps for reliable starts in any condition.</li><li>Extended Cycle Life: Robust construction and advanced chemistry for longer battery life.</li><li>Maintenance-Free Operation: Sealed design eliminates the need for water refills.</li><li>Vibration Resistance: Built to withstand the toughest conditions.</li><li>Multi-Terminal Design: Adaptable to various cable configurations.</li></ul>"
491-1003,"<ul><li>Step up to the next level of battery technology with Motobatt Quadflex.</li><li>MotoBatt innovative Quadflex design boasts four terminals, offering unparalleled installation flexibility and compatibility across a wide range of applications.</li><li>Utilizing advanced AGM (Absorbent Glass Mat) technology, Quadflex batteries deliver:</li><li>Superior Starting Power: High cranking amps for reliable starts in any condition.</li><li>Extended Cycle Life: Robust construction and advanced chemistry for longer battery life.</li><li>Maintenance-Free Operation: Sealed design eliminates the need for water refills.</li><li>Vibration Resistance: Built to withstand the toughest conditions.</li><li>Multi-Terminal Design: Adaptable to various cable configurations.</li></ul>"
491-1004,"<ul><li>Step up to the next level of battery technology with Motobatt Quadflex.</li><li>MotoBatt innovative Quadflex design boasts four terminals, offering unparalleled installation flexibility and compatibility across a wide range of applications.</li><li>Utilizing advanced AGM (Absorbent Glass Mat) technology, Quadflex batteries deliver:</li><li>Superior Starting Power: High cranking amps for reliable starts in any condition.</li><li>Extended Cycle Life: Robust construction and advanced chemistry for longer battery life.</li><li>Maintenance-Free Operation: Sealed design eliminates the need for water refills.</li><li>Vibration Resistance: Built to withstand the toughest conditions.</li><li>Multi-Terminal Design: Adaptable to various cable configurations.</li></ul>"
491-1005,"<ul><li>Step up to the next level of battery technology with Motobatt Quadflex.</li><li>MotoBatt innovative Quadflex design boasts four terminals, offering unparalleled installation flexibility and compatibility across a wide range of applications.</li><li>Utilizing advanced AGM (Absorbent Glass Mat) technology, Quadflex batteries deliver:</li><li>Superior Starting Power: High cranking amps for reliable starts in any condition.</li><li>Extended Cycle Life: Robust construction and advanced chemistry for longer battery life.</li><li>Maintenance-Free Operation: Sealed design eliminates the need for water refills.</li><li>Vibration Resistance: Built to withstand the toughest conditions.</li><li>Multi-Terminal Design: Adaptable to various cable configurations.</li></ul>"
491-1006,"<ul><li>Step up to the next level of battery technology with Motobatt Quadflex.</li><li>MotoBatt innovative Quadflex design boasts four terminals, offering unparalleled installation flexibility and compatibility across a wide range of applications.</li><li>Utilizing advanced AGM (Absorbent Glass Mat) technology, Quadflex batteries deliver:</li><li>Superior Starting Power: High cranking amps for reliable starts in any condition.</li><li>Extended Cycle Life: Robust construction and advanced chemistry for longer battery life.</li><li>Maintenance-Free Operation: Sealed design eliminates the need for water refills.</li><li>Vibration Resistance: Built to withstand the toughest conditions.</li><li>Multi-Terminal Design: Adaptable to various cable configurations.</li></ul>"
491-1007,"<ul><li>Step up to the next level of battery technology with Motobatt Quadflex.</li><li>MotoBatt innovative Quadflex design boasts four terminals, offering unparalleled installation flexibility and compatibility across a wide range of applications.</li><li>Utilizing advanced AGM (Absorbent Glass Mat) technology, Quadflex batteries deliver:</li><li>Superior Starting Power: High cranking amps for reliable starts in any condition.</li><li>Extended Cycle Life: Robust construction and advanced chemistry for longer battery life.</li><li>Maintenance-Free Operation: Sealed design eliminates the need for water refills.</li><li>Vibration Resistance: Built to withstand the toughest conditions.</li><li>Multi-Terminal Design: Adaptable to various cable configurations.</li></ul>"
491-1008,"<ul><li>Step up to the next level of battery technology with Motobatt Quadflex.</li><li>MotoBatt innovative Quadflex design boasts four terminals, offering unparalleled installation flexibility and compatibility across a wide range of applications.</li><li>Utilizing advanced AGM (Absorbent Glass Mat) technology, Quadflex batteries deliver:</li><li>Superior Starting Power: High cranking amps for reliable starts in any condition.</li><li>Extended Cycle Life: Robust construction and advanced chemistry for longer battery life.</li><li>Maintenance-Free Operation: Sealed design eliminates the need for water refills.</li><li>Vibration Resistance: Built to withstand the toughest conditions.</li><li>Multi-Terminal Design: Adaptable to various cable configurations.</li></ul>"
491-1009,"<ul><li>Step up to the next level of battery technology with Motobatt Quadflex.</li><li>MotoBatt innovative Quadflex design boasts four terminals, offering unparalleled installation flexibility and compatibility across a wide range of applications.</li><li>Utilizing advanced AGM (Absorbent Glass Mat) technology, Quadflex batteries deliver:</li><li>Superior Starting Power: High cranking amps for reliable starts in any condition.</li><li>Extended Cycle Life: Robust construction and advanced chemistry for longer battery life.</li><li>Maintenance-Free Operation: Sealed design eliminates the need for water refills.</li><li>Vibration Resistance: Built to withstand the toughest conditions.</li><li>Multi-Terminal Design: Adaptable to various cable configurations.</li></ul>"
